,Year,Deaths-Total,Deaths-Male,Deaths-Female,Deaths-Unspecified,Death-rates-Total,Death-rates-Male,Death-rates-Female,Death-rates-Sex-ratio
0,1899.0,932087.0,476249.0,455828.0,10,21.5,21.8,21.1,104.5
1,1900.0,910744.0,464072.0,446664.0,8,20.8,21.0,20.5,103.9
2,1901.0,925810.0,468524.0,457278.0,8,20.9,21.0,20.7,102.5
3,1902.0,959126.0,486410.0,472710.0,6,21.3,21.5,21.1,102.9
4,1903.0,931008.0,472249.0,458755.0,4,20.4,20.6,20.3,102.9
5,1904.0,955400.0,481445.0,473950.0,5,20.7,20.8,20.7,101.6
6,1905.0,1004661.0,505290.0,499365.0,6,21.6,21.6,21.5,101.2
7,1906.0,955256.0,480077.0,475176.0,3,20.3,20.3,20.3,101.0
8,1907.0,1016798.0,512110.0,504681.0,7,21.4,21.5,21.4,101.5
9,1908.0,1029447.0,517755.0,511687.0,5,21.5,21.5,21.4,101.2
10,1909.0,1091264.0,550267.0,540992.0,5,22.5,22.6,22.3,101.7
11,1910.0,1064234.0,535076.0,529156.0,2,21.6,21.7,21.6,101.1
12,1911.0,1043906.0,526141.0,517762.0,3,20.9,21.1,20.8,101.6
13,1912.0,1037016.0,523604.0,513410.0,2,20.5,20.6,20.4,102.0
14,1913.0,1027257.0,521210.0,506042.0,5,20.0,20.3,19.8,103.0
15,1914.0,1101815.0,559337.0,542473.0,5,21.2,21.4,20.9,103.1
16,1915.0,1093793.0,556179.0,537610.0,4,20.7,21.0,20.5,103.5
17,1916.0,1187832.0,604156.0,583674.0,2,22.2,22.5,21.9,103.5
18,1917.0,1199669.0,609310.0,590359.0,-,22.2,22.4,21.9,103.2
19,1918.0,1493162.0,753392.0,739770.0,-,27.3,27.4,27.1,101.8
20,1919.0,1281965.0,648984.0,632981.0,-,23.3,23.5,23.1,102.5
21,1920.0,1422096.0,720655.0,701441.0,-,25.4,25.7,25.1,102.7
22,1921.0,1288570.0,659328.0,629242.0,-,22.7,23.2,22.3,104.8
23,1922.0,1286941.0,655740.0,631201.0,-,22.4,22.8,22.1,103.9
24,1923.0,1332485.0,679072.0,653405.0,8,22.9,23.3,22.6,103.9
25,1924.0,1254946.0,642969.0,611977.0,-,21.3,21.7,20.9,105.1
26,1925.0,1210706.0,621357.0,589349.0,-,20.3,20.7,19.8,105.4
27,1926.0,1160734.0,597292.0,563435.0,7,19.1,19.6,18.6,106.0
28,1927.0,1214323.0,624311.0,590012.0,-,19.7,20.2,19.2,105.8
